ACCESSION_NUMBER	SECURITY_ID	SECURITIESISSUERNAME	SECURITIESISSUERTITLE	SECURITIESISSUEDTOTALAMOUNT	SECURITIESPRINCIPALHOLDERAMT	SECURITIESISSUEDAGGREGATEAMT	AGGREGATECONSIDERATIONBASIS
0001688804-19-000001	1	RSE Collection, LLC	Series #77LE1, a series of RSE Collection, LLC	2000	0	Aggregate amount: $77,700 Basis of Computing: 2000 LLC Interests at $38.85 per Interest	
0001144204-19-003833	3	Groundfloor Finance Inc.	LROs	42838940	0	$38,784,570 were issued and sold pursuant to Offering Circular File No. 024-10753. $4,054,370 were issued and sold pursuant to Offering Circular File No. 024-10758 (as may be amended and supplemented from time to time).	
0001144204-19-003833	2	Groundfloor Finance Inc.	LROs	42838940	0	$38,784,570 were issued and sold pursuant to Offering Circular File No. 024-10753. $4,054,370 were issued and sold pursuant to Offering Circular File No. 024-10758 (as may be amended and supplemented from time to time).	
0001144204-19-003833	1	Groundfloor Finance Inc.	LROs	42838940	0	$38,784,570 were issued and sold pursuant to Offering Circular File No. 024-10753. $4,054,370 were issued and sold pursuant to Offering Circular File No. 024-10758 (as may be amended and supplemented from time to time).	
0001493152-19-001147	1	Masterworks 001, LLC	Membership Interests	16015	0	16,015 membership interests were issued to Masterworks Gallery, LLC, a Delaware limited liability company which was issued for $100.	
0001393905-19-000030	3	NeoVolta, Inc.	Common	100000	100000	NeoVolta, Inc., issued 100,000 shares of its common stock to its chief executive officer in exchange for his founding capital contribution in the amount of $500, which equates to a price of $0.005 per share.	See (c)(1)
0001393905-19-000030	2	NeoVolta, Inc.	Common	100000	100000	NeoVolta, Inc., issued 100,000 shares of its common stock to its chief executive officer in exchange for his founding capital contribution in the amount of $500, which equates to a price of $0.005 per share.	See (c)(1)
0001393905-19-000030	4	NeoVolta, Inc.	Common	100000	100000	NeoVolta, Inc., issued 100,000 shares of its common stock to its chief executive officer in exchange for his founding capital contribution in the amount of $500, which equates to a price of $0.005 per share.	See (c)(1)
0001393905-19-000030	5	NeoVolta, Inc.	Common	100000	100000	NeoVolta, Inc., issued 100,000 shares of its common stock to its chief executive officer in exchange for his founding capital contribution in the amount of $500, which equates to a price of $0.005 per share.	See (c)(1)
0001393905-19-000030	1	NeoVolta, Inc.	Common	100000	100000	NeoVolta, Inc., issued 100,000 shares of its common stock to its chief executive officer in exchange for his founding capital contribution in the amount of $500, which equates to a price of $0.005 per share.	See (c)(1)
0001477932-19-000272	1	AW Blockchain Mining, Inc.	Common Stock	1000000	0	Cash - $14,257. Price and number of shares determined by Board of Directors	
0001144204-19-003068	1	GAB AI Inc.	GAB Tokens	106354	0	$425,416 (106,354 shares at $4.00 per GAB Token)	
0001214659-19-000545	1	Tao Entertainment, Inc.	Shares of common stock	151000000	0	equity of Tao Entertainment LLC	
0001144204-19-002945	1	GolfSuites 1, Inc.	Class B Common Shares	18000000	0	$180 (determined at $0.00001 per share)	
0001144204-19-002943	1	GolfSuites 1, Inc.	Class B Common Shares	18000000	0	$180 (determined at $0.00001 per share)	
0001659173-19-000006	1	CapWest Income, LLC	Common Membership Interest Units	75000	0	75000	
0001104659-19-002519	1	MogulREIT I, LLC	Common shares	1754760	0	$17,547,607 (1,754,760 shares at $10.00 per common share)	
0001079974-19-000017	1	Ultimate Holdings Corp	common	16000	0	16000 at one dollar per share	
0001477932-19-000195	2	Iron Bridge Mortgage Fund, LLC	10 percent Preferred, Particip LLC Ownership Interests (Equity)	7478355	0	December 2017 - November 2018 = 7,478,355.34	
0001477932-19-000195	1	Iron Bridge Mortgage Fund, LLC	10 percent Preferred, Particip LLC Ownership Interests (Equity)	7478355	0	December 2017 - November 2018 = 7,478,355.34	
0001486452-19-000004	17	CLIKIA CORP	COMMON STOCK	15668800	0	$751320 in cash	Issued as performance bonus, valued at $60000 by Board of Directors
0001486452-19-000004	16	CLIKIA CORP	COMMON STOCK	15668800	0	$751320 in cash	Issued as performance bonus, valued at $60000 by Board of Directors
0001486452-19-000004	15	CLIKIA CORP	COMMON STOCK	15668800	0	$751320 in cash	Issued as performance bonus, valued at $60000 by Board of Directors
0001486452-19-000004	14	CLIKIA CORP	COMMON STOCK	15668800	0	$751320 in cash	Issued as performance bonus, valued at $60000 by Board of Directors
0001486452-19-000004	12	CLIKIA CORP	COMMON STOCK	15668800	0	$751320 in cash	Issued as performance bonus, valued at $60000 by Board of Directors
0001486452-19-000004	11	CLIKIA CORP	COMMON STOCK	15668800	0	$751320 in cash	Issued as performance bonus, valued at $60000 by Board of Directors
0001486452-19-000004	10	CLIKIA CORP	COMMON STOCK	15668800	0	$751320 in cash	Issued as performance bonus, valued at $60000 by Board of Directors
0001486452-19-000004	9	CLIKIA CORP	COMMON STOCK	15668800	0	$751320 in cash	Issued as performance bonus, valued at $60000 by Board of Directors
0001486452-19-000004	8	CLIKIA CORP	COMMON STOCK	15668800	0	$751320 in cash	Issued as performance bonus, valued at $60000 by Board of Directors
0001486452-19-000004	7	CLIKIA CORP	COMMON STOCK	15668800	0	$751320 in cash	Issued as performance bonus, valued at $60000 by Board of Directors
0001486452-19-000004	6	CLIKIA CORP	COMMON STOCK	15668800	0	$751320 in cash	Issued as performance bonus, valued at $60000 by Board of Directors
0001486452-19-000004	5	CLIKIA CORP	COMMON STOCK	15668800	0	$751320 in cash	Issued as performance bonus, valued at $60000 by Board of Directors
0001486452-19-000004	4	CLIKIA CORP	COMMON STOCK	15668800	0	$751320 in cash	Issued as performance bonus, valued at $60000 by Board of Directors
0001486452-19-000004	3	CLIKIA CORP	COMMON STOCK	15668800	0	$751320 in cash	Issued as performance bonus, valued at $60000 by Board of Directors
0001486452-19-000004	2	CLIKIA CORP	COMMON STOCK	15668800	0	$751320 in cash	Issued as performance bonus, valued at $60000 by Board of Directors
0001486452-19-000004	1	CLIKIA CORP	COMMON STOCK	15668800	0	$751320 in cash	Issued as performance bonus, valued at $60000 by Board of Directors
0001486452-19-000004	13	CLIKIA CORP	COMMON STOCK	15668800	0	$751320 in cash	Issued as performance bonus, valued at $60000 by Board of Directors
0001144204-19-001541	3	Groundfloor Finance Inc.	Limited Recourse Obligations	1092030	0	Limited Recourse Obligations in the amount of $1,092,030 were issued and sold pursuant to Offering Circular File No. 024-10753 (as may be amended and supplemented from time to time).	
0001144204-19-001541	2	Groundfloor Finance Inc.	Limited Recourse Obligations	1092030	0	Limited Recourse Obligations in the amount of $1,092,030 were issued and sold pursuant to Offering Circular File No. 024-10753 (as may be amended and supplemented from time to time).	
0001144204-19-001541	1	Groundfloor Finance Inc.	Limited Recourse Obligations	1092030	0	Limited Recourse Obligations in the amount of $1,092,030 were issued and sold pursuant to Offering Circular File No. 024-10753 (as may be amended and supplemented from time to time).	
0001144204-19-001541	4	Groundfloor Finance Inc.	Limited Recourse Obligations	1092030	0	Limited Recourse Obligations in the amount of $1,092,030 were issued and sold pursuant to Offering Circular File No. 024-10753 (as may be amended and supplemented from time to time).	
0001683168-19-000085	1	Advance Green Energy, Inc.	Class A Common Stock, $0.0001 par value	33863900	0	338639	
0001683168-19-000068	1	MC Endeavors, Inc.	Common Stock, $0.001 par value	58200000	0	340800	
0001683168-19-000051	1	My Racehorse CA LLC	Series: Moonless Sky; Sigesmund; Swiss Minister; Bullion; Cairo Kiss; Soul Beam; Amers; Tavasco Road; Takeo Squared; Zestful; Berengaria '17; Country Whirl '17; Madarnas; Major Implications; Night of Idiots; Nileist; Noble Goddess; Sauce On Side	619	0	$354,690	
0001493152-19-000264	1	Masterworks 001, LLC	Membership Interests	16015	0	16,015 membership interests were issued to Masterworks Gallery, LLC, a Delaware limited liability company which was issued for $100.	
0001477932-19-000024	3	InSitu Biologics, Inc.	Class A Common Shares	25000000	0	0	
0001477932-19-000024	2	InSitu Biologics, Inc.	Class A Common Shares	25000000	0	0	
0001477932-19-000024	1	InSitu Biologics, Inc.	Class A Common Shares	25000000	0	0	
0001078782-19-000001	1	NDN BV Inc	Common Stock	5915000	5500000	0	0
